Query,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Q1,2618,1634,2497,1700,1928,1923,2353,2368,1732,1665,2846,2315,1611,2035,1371,1702,2342,2336,2119,2021,1594,2348,1603,2216,2283,1878,1630,3958,1699,2482,2010,2002,3215,2158,1822,3573,1954,1880,2171,2321,4444,2122,1962,2399,2903,2835,1741,2741,2113,2078,1869,1990,2411,2763,1982,1568,1557,1943,1612,2074,1840,1800,1469,1612,3018,1690,1885,2187,2290,1448,2424,1868,1395,2033,2192,1519,1752,1552,2501,2427,2288,1796,1478,2507,2945,1652,1439,2631,1777,1782,1867,2467,1841,2247,1613,2256,2220,1332,2684,1523
Q2,3206,2254,3551,2606,3078,2985,3712,2503,3124,2894,2797,4418,3428,2719,2481,2626,3057,3583,3002,2398,2613,2491,2948,2593,2566,3267,2322,2663,3247,3271,3427,2968,3360,3497,3499,6676,4021,3522,4094,4436,5021,4379,2920,2967,3626,3599,3276,3078,4407,3542,3321,2879,3593,3929,2438,2644,2504,3412,2623,3582,2512,2694,2444,2205,3431,2951,2471,2078,3255,2668,2175,3105,2437,2371,2105,3147,2395,2877,2133,2652,2272,2832,3942,2957,2244,4327,6733,3395,3811,3002,4475,2577,3298,3877,2751,2777,2751,3986,2386,2559
Q3,2099,4217,2051,2175,1868,2177,2642,1850,2172,2078,2844,2959,1823,2310,1943,2047,2070,2079,1950,2160,1693,2123,2066,2466,2240,2436,3567,1781,2616,2145,1652,3032,3490,3595,2880,7309,2880,2514,2783,2722,3194,4122,3469,2474,2585,2535,2357,2512,2719,4352,2914,3114,1989,2082,2208,2673,2297,1970,2971,2258,2367,1582,2587,3372,2336,6050,1962,2782,2879,1906,2091,2388,2286,2064,1691,3940,2323,2676,2557,2212,2995,2969,2290,1945,1932,3283,2938,2533,1849,3809,1495,2613,1808,2697,1997,1904,2216,2290,2617,2147
Q4,2721,1826,2340,3740,1893,2660,1389,2848,1914,3037,2161,2421,1948,1507,1379,1711,1803,2523,1990,1502,1883,1596,1701,2353,1789,2702,1883,1818,2726,1864,1731,1948,2012,2079,2608,2433,1821,2013,2725,2656,2105,2170,2904,2179,1950,1835,2576,2020,3259,2500,1628,1789,2661,1788,1836,1340,2127,1968,1869,1542,1919,1449,1978,2009,2569,1743,1942,1714,1892,2332,1829,1814,1307,1357,1710,2693,2544,2456,2220,2116,1485,1625,1866,1579,1960,1781,1497,1663,2897,3591,2070,2079,1616,1829,1660,1363,2776,1634,1410,1812
Q5,5724,3966,3373,3467,3728,2775,3107,4798,3581,4132,3533,2741,3387,3575,4294,3883,3291,2656,3162,2536,3586,2440,3136,3034,3103,5432,3619,4572,3862,3531,3158,3008,3802,3652,3754,4617,4574,7318,3360,5312,3181,5928,4105,4799,3312,3424,3403,2814,3668,6155,4443,3154,3325,3570,2921,2711,4204,3162,3183,3277,3677,3390,3391,3692,3844,5248,3271,2932,2771,2199,3887,4285,4700,3203,3258,3688,2979,2702,2921,3782,3295,2768,3496,3244,2201,3354,3642,3986,2476,3554,4103,4018,3227,3133,3585,3164,2514,4269,2944,3327
Q6,1896,2976,1800,1569,1937,2220,1352,1719,2673,1801,1611,3065,1685,1647,1359,1771,2808,1644,1673,1637,1687,1381,2154,1299,2012,1761,1526,1609,2486,1876,1313,1638,2513,2642,3069,1954,1870,1938,1812,1962,2680,4098,2403,2224,1622,1736,2414,1469,3391,2911,1969,1566,1887,1899,1522,1773,1761,2290,1633,1505,2355,1696,1723,2209,1707,1745,2018,1623,1753,1464,1551,2029,1652,1864,1962,1732,1683,1893,1788,2294,2440,2247,1759,2725,1946,1476,2537,1948,1649,1452,1457,2028,1671,1434,2545,2095,1409,1424,1182,1308
Q7,3772,3149,2777,2901,3180,3194,2511,4357,3519,3740,3172,5092,4542,3500,3005,3180,2758,2779,3093,2541,3337,2256,2741,4439,4739,2382,3722,3083,3695,3621,3327,4425,4585,4192,4317,4680,2892,3486,3320,2959,4529,3925,4995,5214,3510,3115,3586,4946,2814,4058,5756,3028,3560,3136,2758,2925,4118,3033,4950,3699,3214,2338,3776,3838,3230,4164,3539,3985,3594,3931,3460,3105,3211,3600,3465,5607,3277,3024,2884,3180,2598,2384,3234,4785,2267,3197,3662,2436,4165,3484,2315,4912,3072,2760,3333,4352,3225,2687,2107,3280
Q8,3886,3635,4084,3610,3262,4163,3809,4769,4219,5265,3603,6167,5226,3387,3458,3293,3504,3205,3736,4132,3871,3532,5678,3164,3646,4234,3945,4188,4621,4143,3124,4087,3151,5413,6648,4064,4389,3452,4107,4215,4025,4082,4952,3964,3772,3813,3540,4384,7365,5622,7466,6606,3549,3818,4130,2514,3801,3608,3178,4937,4007,3031,3468,4365,3107,3861,2300,5162,3261,2513,4666,3183,3663,3680,3635,3853,4681,3906,3737,3521,3462,5096,4910,3511,3938,3691,3622,3135,4327,3704,3266,5573,5233,2949,4203,3353,3188,4367,2847,2556
Q9,2732,4430,3137,2305,3232,3117,3946,2434,3473,4363,4871,2825,2405,2962,2463,3631,2949,2315,2404,3571,2399,4531,2713,3873,3774,3101,2540,4045,4886,3225,2455,5757,5718,3250,5642,3507,3699,4962,4901,5155,3250,8539,10499,3864,4911,5962,3449,2947,3677,5071,2955,5094,3239,2692,2703,2528,3314,2834,4528,4551,2996,3085,2794,4091,3916,2971,2859,3716,4580,2503,2838,3053,2464,4580,3086,3150,4869,3174,3351,2813,2906,4682,4451,4675,3450,4682,4450,2745,3444,4567,3391,3005,3340,3224,3971,4920,2760,2885,3719,3091
Q10,2692,3359,2582,1561,1913,2489,2562,2443,1896,2743,3745,3197,2399,2743,1999,3000,2560,1744,2404,2386,2826,3170,1959,2454,2938,2006,3579,2930,3813,2724,3169,2817,2529,5319,2913,2520,2610,3527,3409,3540,2952,2894,2988,4268,4801,3952,2504,2437,3275,4212,2667,4553,3670,2218,2515,2098,2127,2153,2888,3125,3251,2691,2782,2602,3047,2657,2641,3505,2949,2617,1987,2690,3299,2453,2497,2543,2357,2700,2623,2112,2651,3307,2088,2795,4563,3689,3998,3601,2586,2325,3051,3264,2721,3378,2361,2934,3169,2766,2104,2323
